Year,Site,Plot,Area sampled (m2),BD (cm),DBH (cm),Diam (cm),Basal area (cm2 tree-1),Basal area (cm2 m-2),Stem biomass (g dry wt),Branch biomass (g dry wt),Foliage biomass (g dry wt),Total biomass SUM COMP (g dry wt),Tot biomass CALC ALLOM (g dry wt) ,Stem Carbon (g C m-2),Branch Carbon (g C m-2),Foliage Carbon (g C m-2),Total Tree Carbon SUM COMP (g C m-2),Tot Tree Carbon CALC ALLOM (g C m-2) ,,,,,,,,,Notes
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.3,,1.3,1.33,0.03,15.66,40.06,32.99,88.71,71.40,0.18,0.48,0.38,1.04,0.84,,,,,,,,,
2012,HDR,2,40,1.4,,1.4,1.54,0.04,18.93,46.91,36.73,102.57,84.41,0.22,0.56,0.42,1.21,0.99,,,,,,,,,
2012,HDR,2,40,1.4,,1.4,1.54,0.04,18.93,46.91,36.73,102.57,84.41,0.22,0.56,0.42,1.21,0.99,,,,,,,,,
2012,HDR,2,40,1.4,,1.4,1.54,0.04,18.93,46.91,36.73,102.57,84.41,0.22,0.56,0.42,1.21,0.99,,,,,,,,,
2012,HDR,2,40,1.4,,1.4,1.54,0.04,18.93,46.91,36.73,102.57,84.41,0.22,0.56,0.42,1.21,0.99,,,,,,,,,
2012,HDR,2,40,1.5,,1.5,1.77,0.04,22.59,54.34,40.60,117.52,98.66,0.27,0.65,0.47,1.38,1.16,,,,,,,,,
2012,HDR,2,40,1.5,,1.5,1.77,0.04,22.59,54.34,40.60,117.52,98.66,0.27,0.65,0.47,1.38,1.16,,,,,,,,,
2012,HDR,2,40,1.6,,1.6,2.01,0.05,26.65,62.34,44.58,133.57,114.15,0.31,0.75,0.51,1.57,1.34,,,,,,,,,
2012,HDR,2,40,1.7,,1.7,2.27,0.06,31.12,70.94,48.67,150.73,130.91,0.37,0.85,0.56,1.78,1.54,,,,,,,,,
2012,HDR,2,40,1.8,,1.8,2.54,0.06,36.02,80.12,52.88,169.03,148.96,0.42,0.96,0.61,1.99,1.75,,,,,,,,,
2012,HDR,2,40,1.9,,1.9,2.84,0.07,41.37,89.90,57.19,188.47,168.32,0.49,1.08,0.66,2.22,1.98,,,,,,,,,
2012,HDR,2,40,1.9,,1.9,2.84,0.07,41.37,89.90,57.19,188.47,168.32,0.49,1.08,0.66,2.22,1.98,,,,,,,,,
2012,HDR,2,40,3.6,,3.6,10.18,0.25,212.43,350.71,144.47,707.62,713.51,2.50,4.21,1.66,8.37,8.38,,,,,,,,,
2012,HDR,2,40,,1.9,1.9,2.84,0.07,313.41,249.86,100.11,663.39,651.08,3.68,3.00,1.15,7.83,7.65,,,,,,,,,
2012,HDR,2,40,,5.2,5.2,21.24,0.53,2596.20,1852.81,414.02,4863.03,4926.12,30.51,22.23,4.76,57.50,57.88,,,,,,,,,
2012,HDR,2,40,,0.6,0.6,0.28,0.01,27.85,25.21,19.71,72.77,64.18,0.33,0.30,0.23,0.86,0.75,,,,,,,,,
2012,HDR,2,40,,8.1,8.1,51.53,1.29,6584.91,4475.78,773.43,11834.11,12005.85,77.37,53.71,8.89,139.98,141.07,,,,,,,,,
2012,HDR,2,40,,2.7,2.7,5.73,0.14,655.53,502.80,164.32,1322.65,1319.41,7.70,6.03,1.89,15.63,15.50,,,,,,,,,
2012,HDR,2,40,,2.4,2.4,4.52,0.11,511.89,397.74,139.17,1048.80,1041.27,6.01,4.77,1.60,12.39,12.23,,,,,,,,,
2012,HDR,2,40,,2,2,3.14,0.08,349.06,276.72,107.62,733.39,721.79,4.10,3.32,1.24,8.66,8.48,,,,,,,,,
2012,HDR,2,40,,4.8,4.8,18.10,0.45,2194.51,1579.99,369.83,4144.33,4194.04,25.79,18.96,4.25,49.00,49.28,,,,,,,,,
2012,HDR,2,40,,2.2,2.2,3.80,0.10,426.40,334.51,123.10,884.01,874.19,5.01,4.01,1.42,10.44,10.27,,,,,,,,,
2012,HDR,2,40,,3,3,7.07,0.18,817.87,620.09,190.63,1628.59,1630.62,9.61,7.44,2.19,19.24,19.16,,,,,,,,,
2012,HDR,2,40,,0.9,0.9,0.64,0.02,65.26,56.48,34.91,156.65,145.00,0.77,0.68,0.40,1.85,1.70,,,,,,,,,
2012,HDR,2,40,,0.9,0.9,0.64,0.02,65.26,56.48,34.91,156.65,145.00,0.77,0.68,0.40,1.85,1.70,,,,,,,,,
2012,HDR,2,40,,2.6,2.6,5.31,0.13,605.59,466.42,155.80,1227.81,1223.02,7.12,5.60,1.79,14.50,14.37,,,,,,,,,
2012,HDR,2,40,,1.5,1.5,1.77,0.04,190.78,156.10,71.74,418.61,404.84,2.24,1.87,0.82,4.94,4.76,,,,,,,,,
2012,HDR,2,40,,1,1,0.79,0.02,81.42,69.66,40.50,191.58,179.20,0.96,0.84,0.47,2.26,2.11,,,,,,,,,
2012,HDR,2,40,,2.3,2.3,4.15,0.10,468.12,365.44,131.07,964.63,955.90,5.50,4.39,1.51,11.39,11.23,,,,,,,,,
2012,HDR,2,40,,2.4,2.4,4.52,0.11,511.89,397.74,139.17,1048.80,1041.27,6.01,4.77,1.60,12.39,12.23,,,,,,,,,
